timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2025/08/22 17:01:32.548, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:01:42.552, 2 %, 0 %, 1144 MiB, 81920 MiB, 66.40 W, 38
2025/08/22 17:01:52.555, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:02:02.559, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:02:12.563, 4 %, 0 %, 1144 MiB, 81920 MiB, 64.85 W, 38
2025/08/22 17:02:22.567, 11 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:02:32.571, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:02:42.575, 5 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:02:52.579, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:03:02.582, 2 %, 0 %, 1144 MiB, 81920 MiB, 65.46 W, 38
2025/08/22 17:03:12.586, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:03:22.590, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:03:32.594, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:03:42.598, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:03:52.602, 0 %, 0 %, 1144 MiB, 81920 MiB, 63.91 W, 38
2025/08/22 17:04:02.606, 6 %, 0 %, 1144 MiB, 81920 MiB, 67.63 W, 38
2025/08/22 17:04:12.610, 3 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:04:22.616, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:04:32.620, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:04:42.623, 0 %, 0 %, 1144 MiB, 81920 MiB, 64.24 W, 38
2025/08/22 17:04:52.628, 12 %, 0 %, 1144 MiB, 81920 MiB, 65.46 W, 38
